text,date,char,sentiment,polarity,subjectivity,timestamp,Preprocess
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 19:25:11,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 19:24:57,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 19:24:54,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 19:24:49,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 19:23:57,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
Her Jaime Tyrion Tywin Catelyn Stark Robb Stark Ned Stark Arya &amp; Theon Greyjoy &amp; Jorah best characters man . And of… https://t.co/vqp5NFcR6r,05/13/2019,Theo Greyjoy,Pos,0.09999999999999998,0.5249999999999999,05/13/2019 19:23:24,her jaime tyrion tywin catelyn stark robb stark ned stark arya amp theon greyjoy amp jorah best character man and of http co vqp5nfcr6r
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 19:23:19,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 19:20:16,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 19:19:43,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
RT @SonnyBunch: imagine naming your son after theon greyjoy https://t.co/LzGKkfIIq6,05/13/2019,Theo Greyjoy,Neu,0.0,0.0,05/13/2019 19:19:40,rt sonnybunch imagine naming your son after theon greyjoy http co lzgkkfiiq6
RT @SonnyBunch: imagine naming your son after theon greyjoy https://t.co/LzGKkfIIq6,05/13/2019,Theo Greyjoy,Neu,0.0,0.0,05/13/2019 19:18:43,rt sonnybunch imagine naming your son after theon greyjoy http co lzgkkfiiq6
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 19:18:38,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
RT @SonnyBunch: imagine naming your son after theon greyjoy https://t.co/LzGKkfIIq6,05/13/2019,Theo Greyjoy,Neu,0.0,0.0,05/13/2019 19:18:11,rt sonnybunch imagine naming your son after theon greyjoy http co lzgkkfiiq6
Even Ser Jorah got a better death. Even Lyanna Mormont. Even Theon Greyjoy. And these characters weren’t AS importa… https://t.co/9Mx59B1ZgF,05/13/2019,Theo Greyjoy,Pos,0.5,0.5,05/13/2019 19:18:10,even ser jorah got better death even lyanna mormont even theon greyjoy and these character weren a importa http co 9mx59b1zgf
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 19:18:00,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 19:17:09,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 19:16:45,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 19:14:21,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 19:13:32,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
@pipandbaby That’s Theon Greyjoy.,05/13/2019,Theo Greyjoy,Neu,0.0,0.0,05/13/2019 19:12:57,pipandbaby that theon greyjoy
Watched game of thrones from the pretty much the very start and it took me to today to work out that Theon Greyjoy… https://t.co/9ct1mTQfO9,05/13/2019,Theo Greyjoy,Pos,0.0625,0.475,05/13/2019 19:12:56,watched game of throne from the pretty much the very start and it took me to today to work out that theon greyjoy http co 9ct1mtqfo9
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 19:10:49,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @JoshTheFiend: Err not exactly, Alfie Allen as Theon Greyjoy, then as Reek, then as reek-theon, then as Theon Stark. Best performance ev…",05/13/2019,Theo Greyjoy,Pos,0.225,0.3833333333333333,05/13/2019 19:08:50,rt joshthefiend err not exactly alfie allen a theon greyjoy then a reek then a reek theon then a theon stark best performance ev
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 19:08:37,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 19:07:20,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @JoshTheFiend: Err not exactly, Alfie Allen as Theon Greyjoy, then as Reek, then as reek-theon, then as Theon Stark. Best performance ev…",05/13/2019,Theo Greyjoy,Pos,0.225,0.3833333333333333,05/13/2019 19:06:30,rt joshthefiend err not exactly alfie allen a theon greyjoy then a reek then a reek theon then a theon stark best performance ev
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 19:04:33,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 19:02:45,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
I left a flower at the Theon Greyjoy grave at the Game of Thrones Graveyard. Mourn a dead character: https://t.co/hEVS6RX2AK via @Slate,05/13/2019,Theo Greyjoy,Neg,-0.20000000000000004,0.26666666666666666,05/13/2019 19:01:49,i left flower at the theon greyjoy grave at the game of throne graveyard mourn dead character http co hevs6rx2ak via slate
"RT @P_Tor17: BATTLE OF WINTERFELL AWARDS 

MVP - Arya Stark 
Defensive POY - Jorah Mormont 
Offensive POY - Night King 
Most Improved - The…",05/13/2019,Theo Greyjoy,Pos,0.15,0.55,05/13/2019 19:00:31,rt p_tor17 battle of winterfell award mvp arya stark defensive poy jorah mormont offensive poy night king most improved the
"My friend Katie’s guide to Game of Thrones

Jon Snow = Jon Smith
Danaerys = Dolores
Theon Greyjoy = Ron Weasley

Wi… https://t.co/a8MHlVFNb4",05/13/2019,Theo Greyjoy,Neg,-0.4,0.4,05/13/2019 18:59:18,my friend katie guide to game of throne jon snow jon smith danaerys dolores theon greyjoy ron weasley wi http co a8mhlvfnb4
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 18:56:34,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 18:56:23,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 18:54:19,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 18:53:58,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @JoshTheFiend: Err not exactly, Alfie Allen as Theon Greyjoy, then as Reek, then as reek-theon, then as Theon Stark. Best performance ev…",05/13/2019,Theo Greyjoy,Pos,0.225,0.3833333333333333,05/13/2019 18:53:39,rt joshthefiend err not exactly alfie allen a theon greyjoy then a reek then a reek theon then a theon stark best performance ev
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 18:53:02,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 18:50:31,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 18:49:29,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
